SampleID,Az_true,El_true,AzSector,ElSector,Sector,MUSIC_Az,MUSIC_El,GCC_Angle,ILD_dB,RMS_mean,FFT_PeakFreq,SpecEntropyNorm
70,-70.320546834235,17.663194588405,Az_-80to-70,El_10to20,Az_-80to-70_El_10to20,-70,14,17.8119918540559,-0.0130014380457761-6.90401403361349i,0.29953711804102+6.38235003752666e-05i,1958.0859375,0.732228714287354
71,-72.3690921274818,29.1870445440044,Az_-80to-70,El_20to30,Az_-80to-70_El_20to30,-72,29,29.133814753356,-0.00770432120230667-5.81705759068334i,0.318515469330551-0.000102735095689491i,1225.95703125,0.738084407979297
72,-71.6051899382142,26.4731144408897,Az_-80to-70,El_20to30,Az_-80to-70_El_20to30,-72,27,26.4928518590806,0.0122219675573958-6.44422167808867i,0.315899762019407-0.000141701741319084i,1975.3125,0.738717831628642
73,-71.8261846106898,28.4146446408206,Az_-80to-70,El_20to30,Az_-80to-70_El_20to30,-72,28,28.3713477859983,0.0070299164287063-7.05665880741674i,0.299770210903909+3.72689796009767e-06i,1435.546875,0.738898009242227
74,-76.1693680534416,21.2891022495774,Az_-80to-70,El_20to30,Az_-80to-70_El_20to30,-75,21,21.2879228432787,-0.0154534472094641-7.36608131328522i,0.296424379411882+0.000175228665652026i,511.0546875,0.741563078489212
75,-70.1494791561603,22.1259424017885,Az_-80to-70,El_20to30,Az_-80to-70_El_20to30,-71,24,22.1200593398735,0.0326470961403435-6.62791546308683i,0.295465689686763-0.000217922136993558i,2325.5859375,0.735523035905759
76,-71.0467336906562,23.8225579859512,Az_-80to-70,El_20to30,Az_-80to-70_El_20to30,-71,24,23.974013042565,-0.0146370297969966-6.94899282833228i,0.300770028732377+7.95191610862347e-05i,1639.39453125,0.739101502158334
77,-75.3436354794511,28.3649928947332,Az_-80to-70,El_20to30,Az_-80to-70_El_20to30,-75,29,28.5355083428351,-0.00974524377538121-6.87414645840644i,0.30145583578652+3.62452668661029e-05i,1593.45703125,0.739196179887133
78,-73.8196177558555,24.3316630729212,Az_-80to-70,El_20to30,Az_-80to-70_El_20to30,-74,24,24.2458997162346,-0.00213156032620847-5.86133014495798i,0.307981659109253-1.28485304454889e-05i,2710.3125,0.737835495343179
79,-79.9651933274499,28.7911919353019,Az_-80to-70,El_20to30,Az_-80to-70_El_20to30,-80,29,28.7142794611364,0.00813454651331379-5.26295277538149i,0.306556656336031-3.70393453121218e-05i,499.5703125,0.743704669592457
80,-73.4724391694543,25.6848028477362,Az_-80to-70,El_20to30,Az_-80to-70_El_20to30,-74,23,25.6851544837169,0.00383633600036222-6.71009884395666i,0.297584228649166+0.000174949275790599i,1478.61328125,0.740490865174347
81,-76.0958291880652,37.4114075974591,Az_-80to-70,El_30to40,Az_-80to-70_El_30to40,-76,38,37.5480625524028,-0.0188732886642777-6.28066205531761i,0.305489074705179+7.02744242071854e-05i,2288.26171875,0.739603887983724
82,-74.4389404222808,39.0948130754691,Az_-80to-70,El_30to40,Az_-80to-70_El_30to40,-74,39,39.25140641145,-0.00156450827151462-6.21611151016668i,0.307957876735575+8.86651783226153e-05i,1438.41796875,0.740117582594566
83,-71.9151997873986,38.8475923066674,Az_-80to-70,El_30to40,Az_-80to-70_El_30to40,-72,39,38.8600122962858,0.00845029864060584-4.40639853226535i,0.323131654913081+7.43515153001015e-05i,536.89453125,0.73869123723596
84,-76.183819643634,30.069420424675,Az_-80to-70,El_30to40,Az_-80to-70_El_30to40,-76,29,30.012078554255,-0.0116466289754576-6.98189908340209i,0.306005352181389+1.13081468351567e-05i,2641.40625,0.73822530819328
85,-72.6771151359562,35.026611198906,Az_-80to-70,El_30to40,Az_-80to-70_El_30to40,-74,34,35.1825891118367,0.0120267840291365-6.53566567153786i,0.305974736861902-2.69413205832431e-05i,1935.1171875,0.74158486391543
86,-75.5341655961085,35.6076593582122,Az_-80to-70,El_30to40,Az_-80to-70_El_30to40,-75,35,35.7478047528114,0.00204617744619014-4.87280438226893i,0.306971676395637+4.83780242940858e-05i,778.06640625,0.739942759590586
87,-70.1710341251782,33.2649497941479,Az_-80to-70,El_30to40,Az_-80to-70_El_30to40,-70,34,33.2198602065026,-0.0265081696129614-6.92303216848337i,0.30198960611092+2.84295117333674e-05i,1441.2890625,0.738064020698798
88,-78.8570240100124,38.7637099489065,Az_-80to-70,El_30to40,Az_-80to-70_El_30to40,-79,39,38.6344886884106,0.00903745534028312-5.95045643000757i,0.306852017831017+2.66761814544103e-05i,2196.38671875,0.744017780143255
89,-72.1980713666827,32.7879296005417,Az_-80to-70,El_30to40,Az_-80to-70_El_30to40,-72,34,33.0395834147604,-0.0210235390351358-6.92417142074361i,0.298099895533426+0.00032391733544037i,640.25390625,0.734801514750956
90,-78.4566975548232,37.9936852905772,Az_-80to-70,El_30to40,Az_-80to-70_El_30to40,-77,-38,37.8582364134231,-0.00372520975819913-6.48705846291516i,0.311405298862928-5.62429488232888e-05i,2604.08203125,0.739043939678219
91,-76.3733253082754,41.5374746450918,Az_-80to-70,El_40to50,Az_-80to-70_El_40to50,-76,41,41.3684589225209,0.00223979996714305-5.2286221309711i,0.313662562042902-3.0672148476258e-05i,1263.28125,0.736257577692091
92,-72.5530584381069,40.0310584118002,Az_-80to-70,El_40to50,Az_-80to-70_El_40to50,-73,40,40.0956921680766,-0.00152920814757976-6.006874315572i,0.300415670423996-4.01130375610875e-06i,2130.3515625,0.741843626817444
93,-75.1812004297188,40.4315245245058,Az_-80to-70,El_40to50,Az_-80to-70_El_40to50,-75,40,40.3153487933972,-0.0110456065234184-6.32331851495872i,0.307372408194474+1.95208326145627e-05i,910.13671875,0.737759412790622
94,-72.6409777379907,41.6840159473022,Az_-80to-70,El_40to50,Az_-80to-70_El_40to50,-72,43,41.8412735226323,-0.0054800167883904-6.29770190583865i,0.306041536217159-6.78790313129382e-05i,671.8359375,0.736308637846611
